0:00:00:22,0:00:01:15,absolutely
0:00:02:18,0:00:03:17,absolutelynot
0:00:05:28,0:00:10:26,administrator
0:00:11:21,0:00:12:16,afellowsci
0:00:16:01,0:00:17:07,ahfreeman
0:00:20:06,0:00:23:09,alienappeal
0:00:27:18,0:00:31:02,alientrick
0:00:34:20,0:00:36:29,allnominal
0:00:39:21,0:00:40:10,alright
0:00:42:20,0:00:45:21,analysis
0:00:48:07,0:00:50:16,announcer
0:00:52:24,0:00:54:16,areyouthink
0:00:56:29,0:00:58:12,asexpected
0:01:01:10,0:01:03:04,beenaburden
0:01:05:23,0:01:08:05,beverage
0:01:10:24,0:01:14:13,bloodsample
0:01:16:21,0:01:18:17,c1a0_sci_bigday
0:01:20:09,0:01:23:09,c1a0_sci_catscream
0:01:27:00,0:01:29:15,c1a0_sci_crit1a
0:01:32:15,0:01:34:07,c1a0_sci_crit2a
0:01:36:26,0:01:38:13,c1a0_sci_crit3a
0:01:40:10,0:01:45:03,c1a0_sci_ctrl1a
0:01:49:05,0:01:56:08,c1a0_sci_ctrl2a
0:01:58:22,0:02:06:25,c1a0_sci_ctrl3a
0:02:09:18,0:02:13:24,c1a0_sci_ctrl4a
0:02:16:28,0:02:33:02,c1a0_sci_dis1a
0:02:34:26,0:02:39:21,c1a0_sci_dis1b
0:02:43:11,0:02:45:22,c1a0_sci_dis1c
0:02:49:05,0:02:52:09,c1a0_sci_dis1d
0:02:54:00,0:03:00:20,c1a0_sci_dis2a
0:03:04:08,0:03:06:12,c1a0_sci_dis3a
0:03:10:20,0:03:16:15,c1a0_sci_dis5a-throw
0:03:19:05,0:03:28:00,c1a0_sci_dis6a
0:03:30:07,0:03:36:17,c1a0_sci_dis7a-throw
0:03:39:28,0:03:43:04,c1a0_sci_dis9a
0:03:47:15,0:03:56:20,c1a0_sci_dis10a
0:04:00:17,0:04:14:02,c1a0_sci_dis11a-throw
0:04:17:29,0:04:21:19,c1a0_sci_dis12a
0:04:24:24,0:04:26:23,c1a0_sci_dis13a-throw
0:04:28:17,0:04:32:22,c1a0_sci_dis14a-throw
